Orthogroup	OM037668	MT521409
OG0000119	OM037668.1_00062 hypothetical protein	OM037668.1_00062 hypothetical protein
OG0000133	OM037668.1_00015 Serine proteinase inhibitor 1	OM037668.1_00015 Serine proteinase inhibitor 1
OG0000133	OM037668.1_00071 Serine proteinase inhibitor 2	OM037668.1_00071 Serine proteinase inhibitor 2
OG0000137	OM037668.1_00068 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
OG0000138	OM037668.1_00036 hypothetical protein	OM037668.1_00036 hypothetical protein
OG0000140	OM037668.1_00002 hypothetical protein	OM037668.1_00002 hypothetical protein
OG0000140	OM037668.1_00006 hypothetical protein	OM037668.1_00006 hypothetical protein
OG0000140	OM037668.1_00125 hypothetical protein	OM037668.1_00125 hypothetical protein
OG0000141	OM037668.1_00066 hypothetical protein	OM037668.1_00066 hypothetical protein
OG0000141	OM037668.1_00131 hypothetical protein	OM037668.1_00131 hypothetical protein
OG0000141	OM037668.1_00132 hypothetical protein	OM037668.1_00132 hypothetical protein
OG0000149	OM037668.1_00001 hypothetical protein	OM037668.1_00001 hypothetical protein
OG0000153	OM037668.1_00067 hypothetical protein	OM037668.1_00067 hypothetical protein
OG0000153	OM037668.1_00126 hypothetical protein	OM037668.1_00126 hypothetical protein
OG0000157	OM037668.1_00092 hypothetical protein	OM037668.1_00092 hypothetical protein
OG0000157	OM037668.1_00093 hypothetical protein	OM037668.1_00093 hypothetical protein
OG0000158	OM037668.1_00128 hypothetical protein	OM037668.1_00128 hypothetical protein
OG0000158	OM037668.1_00121 hypothetical protein	OM037668.1_00121 hypothetical protein
OG0000159	OM037668.1_00022 hypothetical protein	OM037668.1_00022 hypothetical protein
OG0000168	OM037668.1_00023 hypothetical protein	OM037668.1_00023 hypothetical protein
OG0000177	OM037668.1_00133 hypothetical protein	OM037668.1_00133 hypothetical protein
OG0000203	OM037668.1_00088 hypothetical protein	OM037668.1_00088 hypothetical protein
OG0000204	OM037668.1_00094 hypothetical protein	OM037668.1_00094 hypothetical protein
OG0000205	OM037668.1_00063 hypothetical protein	OM037668.1_00063 hypothetical protein
OG0000234	OM037668.1_00017 Golgi anti-apoptotic protein	OM037668.1_00017 Golgi anti-apoptotic protein
OG0000237	OM037668.1_00029 hypothetical protein	OM037668.1_00029 hypothetical protein
OG0000238	OM037668.1_00025 hypothetical protein	OM037668.1_00025 hypothetical protein
OG0000239	OM037668.1_00039 hypothetical protein	OM037668.1_00039 hypothetical protein
OG0000240	OM037668.1_00044 hypothetical protein	OM037668.1_00044 hypothetical protein
OG0000241	OM037668.1_00055 hypothetical protein	OM037668.1_00055 hypothetical protein
OG0000242	OM037668.1_00052 hypothetical protein	OM037668.1_00052 hypothetical protein
OG0000243	OM037668.1_00049 hypothetical protein	OM037668.1_00049 hypothetical protein
OG0000244	OM037668.1_00007 hypothetical protein	OM037668.1_00007 hypothetical protein
OG0000245	OM037668.1_00069 hypothetical protein	OM037668.1_00069 hypothetical protein
OG0000246	OM037668.1_00026 hypothetical protein	OM037668.1_00026 hypothetical protein
OG0000247	OM037668.1_00008 hypothetical protein	OM037668.1_00008 hypothetical protein
OG0000248	OM037668.1_00012 hypothetical protein	OM037668.1_00012 hypothetical protein
OG0000249	OM037668.1_00114 hypothetical protein	OM037668.1_00114 hypothetical protein
OG0000250	OM037668.1_00112 hypothetical protein	OM037668.1_00112 hypothetical protein
OG0000251	OM037668.1_00111 hypothetical protein	OM037668.1_00111 hypothetical protein
OG0000252	OM037668.1_00103 hypothetical protein	OM037668.1_00103 hypothetical protein
OG0000253	OM037668.1_00102 hypothetical protein	OM037668.1_00102 hypothetical protein
OG0000254	OM037668.1_00058 hypothetical protein	OM037668.1_00058 hypothetical protein
OG0000255	OM037668.1_00072 hypothetical protein	OM037668.1_00072 hypothetical protein
OG0000256	OM037668.1_00034 hypothetical protein	OM037668.1_00034 hypothetical protein
OG0000281	OM037668.1_00014 hypothetical protein	OM037668.1_00014 hypothetical protein
OG0000282	OM037668.1_00027 hypothetical protein	OM037668.1_00027 hypothetical protein
OG0000283	OM037668.1_00037 hypothetical protein	OM037668.1_00037 hypothetical protein
OG0000284	OM037668.1_00060 hypothetical protein	OM037668.1_00060 hypothetical protein
OG0000285	OM037668.1_00061 hypothetical protein	OM037668.1_00061 hypothetical protein
OG0000286	OM037668.1_00065 hypothetical protein	OM037668.1_00065 hypothetical protein
OG0000287	OM037668.1_00070 hypothetical protein	OM037668.1_00070 hypothetical protein
OG0000288	OM037668.1_00104 hypothetical protein	OM037668.1_00104 hypothetical protein
OG0000289	OM037668.1_00107 hypothetical protein	OM037668.1_00107 hypothetical protein
OG0000290	OM037668.1_00108 hypothetical protein	OM037668.1_00108 hypothetical protein
OG0000291	OM037668.1_00109 hypothetical protein	OM037668.1_00109 hypothetical protein
OG0000292	OM037668.1_00116 hypothetical protein	OM037668.1_00116 hypothetical protein
OG0000293	OM037668.1_00117 hypothetical protein	OM037668.1_00117 hypothetical protein
OG0000294	OM037668.1_00118 hypothetical protein	OM037668.1_00118 hypothetical protein
OG0000295	OM037668.1_00119 hypothetical protein	OM037668.1_00119 hypothetical protein
OG0000296	OM037668.1_00120 hypothetical protein	OM037668.1_00120 hypothetical protein
OG0000297	SDDV_ORF016 mRNA decay activator protein	SDDV_ORF016 mRNA decay activator protein
